CUSTOMER_ID,AGE_GROUP,GENDER,INCOME_BRACKET,OCCUPATION,EDUCATION_LEVEL,CITY,STATE,OWNERSHIP_DURATION_MONTHS,FIRST_TIME_BUYER
119,26-35,Male,<5L,Retired,Graduate,Delhi,Uttar Pradesh,7,Yes
120,26-35,Male,10-20L,Professional,Post-Graduate,Mumbai,Uttar Pradesh,10,No
121,46-55,Male,20-50L,Professional,Doctorate,Delhi,Tamil Nadu,17,Yes
122,46-55,Male,<5L,Student,Graduate,Mumbai,Gujarat,27,No
123,46-55,Female,>50L,Retired,Graduate,Mumbai,Karnataka,6,No
124,36-45,Female,20-50L,Professional,High School,Hyderabad,Karnataka,22,Yes
125,55+,Other,>50L,Retired,Post-Graduate,Delhi,Uttar Pradesh,51,Yes
126,26-35,Other,5-10L,Retired,Graduate,Mumbai,Uttar Pradesh,40,No
127,18-25,Male,10-20L,Student,High School,Hyderabad,Gujarat,52,No
128,26-35,Female,5-10L,Retired,Doctorate,Mumbai,Uttar Pradesh,9,Yes
129,55+,Other,5-10L,Business Owner,Graduate,Chennai,West Bengal,42,No
130,55+,Female,>50L,Salaried,Doctorate,Delhi,Gujarat,30,Yes
131,55+,Other,5-10L,Student,High School,Delhi,Gujarat,47,Yes
132,55+,Male,5-10L,Student,Doctorate,Hyderabad,Rajasthan,31,Yes
133,26-35,Male,20-50L,Salaried,Graduate,Bangalore,Tamil Nadu,45,No
134,36-45,Other,5-10L,Professional,Graduate,Bangalore,Karnataka,58,Yes
135,46-55,Male,20-50L,Retired,High School,Mumbai,Rajasthan,2,No
136,26-35,Male,<5L,Retired,Post-Graduate,Bangalore,Tamil Nadu,14,No
137,26-35,Other,>50L,Professional,Post-Graduate,Mumbai,Rajasthan,26,Yes
138,36-45,Female,>50L,Salaried,Doctorate,Mumbai,Gujarat,56,No
139,26-35,Female,5-10L,Freelancer,High School,Bangalore,Rajasthan,49,Yes
140,46-55,Female,20-50L,Student,Graduate,Bangalore,Karnataka,60,No
141,36-45,Other,5-10L,Freelancer,High School,Delhi,Delhi,20,Yes
142,36-45,Male,5-10L,Salaried,Post-Graduate,Hyderabad,Telangana,18,No
143,26-35,Female,5-10L,Salaried,Graduate,Bangalore,West Bengal,29,No
144,18-25,Female,>50L,Freelancer,Graduate,Delhi,Karnataka,12,Yes
145,55+,Female,20-50L,Retired,Graduate,Mumbai,Telangana,23,Yes
146,18-25,Female,>50L,Retired,High School,Bangalore,Punjab,2,Yes
147,18-25,Other,<5L,Professional,Post-Graduate,Bangalore,Maharashtra,58,No
148,36-45,Female,5-10L,Freelancer,High School,Mumbai,Maharashtra,32,No
149,55+,Male,5-10L,Student,Graduate,Bangalore,Punjab,1,Yes
150,26-35,Male,>50L,Retired,Post-Graduate,Chennai,Karnataka,39,Yes
151,46-55,Female,>50L,Student,Post-Graduate,Bangalore,West Bengal,59,Yes
152,36-45,Male,<5L,Freelancer,Graduate,Hyderabad,Maharashtra,37,Yes
153,36-45,Female,20-50L,Student,Doctorate,Mumbai,Tamil Nadu,26,Yes
154,36-45,Male,10-20L,Retired,Post-Graduate,Bangalore,Punjab,54,Yes
155,36-45,Other,5-10L,Freelancer,Graduate,Hyderabad,Karnataka,8,Yes
156,46-55,Female,>50L,Student,High School,Chennai,Uttar Pradesh,49,Yes
157,26-35,Male,20-50L,Retired,Post-Graduate,Chennai,Gujarat,9,No
158,55+,Other,5-10L,Student,Post-Graduate,Hyderabad,Uttar Pradesh,58,No
159,46-55,Female,10-20L,Freelancer,Doctorate,Chennai,Telangana,13,Yes
160,36-45,Other,5-10L,Retired,Doctorate,Hyderabad,Gujarat,20,Yes
161,36-45,Female,20-50L,Student,Graduate,Delhi,Tamil Nadu,25,Yes
162,18-25,Other,>50L,Student,High School,Bangalore,Tamil Nadu,21,No
163,55+,Male,5-10L,Student,High School,Hyderabad,Delhi,50,Yes
164,46-55,Male,<5L,Salaried,Graduate,Bangalore,Delhi,48,No
165,36-45,Female,>50L,Business Owner,High School,Mumbai,Punjab,2,No
166,36-45,Other,<5L,Freelancer,Graduate,Bangalore,Rajasthan,1,No
167,36-45,Female,10-20L,Student,Graduate,Hyderabad,Karnataka,19,Yes
168,46-55,Other,<5L,Salaried,Doctorate,Chennai,Gujarat,3,No
169,36-45,Female,5-10L,Student,Doctorate,Hyderabad,Punjab,4,No
170,36-45,Other,5-10L,Salaried,High School,Mumbai,Karnataka,27,Yes
171,36-45,Male,10-20L,Salaried,Graduate,Hyderabad,Karnataka,5,No
172,46-55,Male,<5L,Freelancer,Doctorate,Delhi,Gujarat,6,No
173,46-55,Male,<5L,Retired,Post-Graduate,Hyderabad,Maharashtra,21,Yes
174,26-35,Other,>50L,Retired,Post-Graduate,Delhi,Punjab,48,No
175,55+,Female,>50L,Business Owner,Post-Graduate,Mumbai,Gujarat,36,No
176,18-25,Other,10-20L,Salaried,Post-Graduate,Delhi,Delhi,50,Yes
177,36-45,Female,>50L,Business Owner,High School,Mumbai,Telangana,37,Yes
178,46-55,Other,10-20L,Student,Graduate,Bangalore,Delhi,52,No
179,18-25,Male,20-50L,Freelancer,High School,Mumbai,Tamil Nadu,44,No
180,55+,Other,10-20L,Retired,High School,Chennai,Delhi,14,Yes
181,18-25,Female,5-10L,Freelancer,Doctorate,Bangalore,Tamil Nadu,42,No
182,46-55,Male,>50L,Business Owner,Graduate,Mumbai,Rajasthan,7,No
183,46-55,Female,10-20L,Business Owner,High School,Delhi,West Bengal,46,Yes
184,36-45,Female,20-50L,Freelancer,Post-Graduate,Delhi,Tamil Nadu,46,Yes
185,26-35,Female,10-20L,Professional,High School,Mumbai,Delhi,10,Yes
186,36-45,Other,5-10L,Freelancer,Doctorate,Hyderabad,Telangana,30,Yes
187,46-55,Female,<5L,Student,Post-Graduate,Delhi,Punjab,23,No
188,26-35,Other,20-50L,Freelancer,Graduate,Hyderabad,Rajasthan,31,Yes
189,46-55,Female,<5L,Retired,Doctorate,Hyderabad,West Bengal,58,Yes
190,46-55,Male,<5L,Professional,High School,Chennai,Karnataka,38,No
191,26-35,Male,<5L,Freelancer,Doctorate,Delhi,Uttar Pradesh,24,No
192,55+,Other,<5L,Professional,Graduate,Mumbai,Delhi,17,No
193,46-55,Female,20-50L,Student,Graduate,Chennai,Tamil Nadu,30,No
194,55+,Other,10-20L,Business Owner,High School,Chennai,Punjab,53,No
195,26-35,Other,>50L,Retired,Post-Graduate,Bangalore,Telangana,58,No
196,26-35,Other,>50L,Freelancer,Post-Graduate,Delhi,West Bengal,47,No
197,55+,Other,5-10L,Freelancer,Post-Graduate,Bangalore,Gujarat,44,Yes
198,26-35,Other,20-50L,Student,High School,Hyderabad,Tamil Nadu,22,No
199,55+,Male,<5L,Salaried,High School,Bangalore,Punjab,10,Yes
200,46-55,Male,<5L,Professional,Doctorate,Mumbai,Rajasthan,4,No
201,46-55,Other,<5L,Retired,Doctorate,Bangalore,West Bengal,23,No
202,18-25,Female,5-10L,Salaried,High School,Delhi,Tamil Nadu,7,No
203,26-35,Male,10-20L,Retired,Post-Graduate,Mumbai,Telangana,44,Yes
204,18-25,Male,20-50L,Retired,Post-Graduate,Mumbai,Gujarat,27,No
205,55+,Other,<5L,Business Owner,Graduate,Chennai,Maharashtra,19,No
206,26-35,Other,5-10L,Freelancer,Graduate,Chennai,Rajasthan,27,No
207,46-55,Other,<5L,Business Owner,Graduate,Hyderabad,Tamil Nadu,43,Yes
208,36-45,Other,5-10L,Business Owner,High School,Chennai,Karnataka,14,Yes
209,26-35,Male,>50L,Student,Graduate,Hyderabad,Telangana,58,No
210,55+,Other,>50L,Salaried,Doctorate,Mumbai,Telangana,53,No
211,36-45,Male,10-20L,Salaried,Graduate,Bangalore,Tamil Nadu,17,Yes
212,46-55,Male,20-50L,Professional,High School,Chennai,Tamil Nadu,49,No
213,26-35,Female,20-50L,Business Owner,Graduate,Mumbai,Rajasthan,8,No
214,26-35,Female,5-10L,Student,High School,Bangalore,Uttar Pradesh,6,No
215,46-55,Other,20-50L,Student,High School,Hyderabad,Tamil Nadu,9,Yes
216,18-25,Other,<5L,Freelancer,High School,Delhi,Karnataka,2,No
217,46-55,Female,5-10L,Professional,Graduate,Mumbai,Gujarat,42,Yes
218,26-35,Other,<5L,Retired,High School,Bangalore,Gujarat,29,No
219,55+,Male,>50L,Salaried,High School,Hyderabad,Telangana,59,No
220,36-45,Other,20-50L,Retired,Post-Graduate,Mumbai,Karnataka,52,No
221,26-35,Other,<5L,Retired,High School,Chennai,Uttar Pradesh,28,Yes
222,36-45,Male,<5L,Retired,Doctorate,Delhi,Tamil Nadu,48,No
223,36-45,Other,20-50L,Salaried,Graduate,Bangalore,Gujarat,34,Yes
224,18-25,Male,<5L,Freelancer,Post-Graduate,Chennai,Punjab,21,Yes
225,55+,Other,<5L,Freelancer,Doctorate,Chennai,Delhi,13,No
226,46-55,Other,>50L,Retired,Post-Graduate,Bangalore,Telangana,44,No
227,55+,Other,20-50L,Freelancer,Graduate,Chennai,Uttar Pradesh,39,Yes
228,18-25,Male,5-10L,Business Owner,Post-Graduate,Mumbai,Rajasthan,30,Yes
229,36-45,Other,<5L,Student,High School,Delhi,Tamil Nadu,33,Yes
230,18-25,Male,10-20L,Freelancer,High School,Delhi,Punjab,39,No
231,36-45,Male,<5L,Retired,Graduate,Chennai,Delhi,15,No
232,55+,Male,5-10L,Retired,Doctorate,Chennai,Rajasthan,7,No
233,18-25,Male,5-10L,Student,Post-Graduate,Mumbai,Punjab,22,Yes
234,18-25,Male,20-50L,Retired,Doctorate,Chennai,Delhi,21,Yes
235,26-35,Male,10-20L,Student,Doctorate,Chennai,Tamil Nadu,53,No
236,55+,Other,20-50L,Salaried,High School,Hyderabad,Gujarat,22,Yes
237,55+,Other,10-20L,Freelancer,Graduate,Hyderabad,Telangana,59,No
238,46-55,Male,>50L,Business Owner,High School,Mumbai,West Bengal,6,No
239,26-35,Other,>50L,Freelancer,Doctorate,Bangalore,Punjab,18,No
240,55+,Male,10-20L,Professional,High School,Mumbai,Tamil Nadu,42,Yes
241,55+,Female,<5L,Retired,High School,Delhi,West Bengal,20,Yes
242,36-45,Female,10-20L,Salaried,Doctorate,Mumbai,Rajasthan,52,Yes
243,55+,Other,10-20L,Retired,Doctorate,Delhi,Rajasthan,29,Yes
244,18-25,Female,5-10L,Business Owner,Graduate,Delhi,Gujarat,45,Yes
245,46-55,Other,>50L,Freelancer,Post-Graduate,Mumbai,West Bengal,45,Yes
246,55+,Male,10-20L,Salaried,Post-Graduate,Chennai,Tamil Nadu,25,Yes
247,55+,Female,5-10L,Business Owner,Post-Graduate,Delhi,Rajasthan,57,No
248,26-35,Other,>50L,Student,High School,Hyderabad,Maharashtra,38,Yes
249,26-35,Male,<5L,Salaried,Graduate,Mumbai,West Bengal,59,No
250,55+,Other,<5L,Salaried,Doctorate,Chennai,Gujarat,46,No
251,55+,Other,20-50L,Salaried,Doctorate,Bangalore,Delhi,11,Yes
252,18-25,Male,>50L,Salaried,Doctorate,Mumbai,Gujarat,8,No
253,46-55,Male,20-50L,Retired,Doctorate,Bangalore,Karnataka,21,Yes
254,55+,Female,10-20L,Business Owner,Graduate,Bangalore,Tamil Nadu,37,Yes
255,26-35,Female,<5L,Salaried,Post-Graduate,Chennai,Tamil Nadu,7,Yes
256,18-25,Other,10-20L,Business Owner,High School,Mumbai,Gujarat,20,No
257,36-45,Other,20-50L,Professional,High School,Chennai,Gujarat,37,No
258,18-25,Female,<5L,Professional,Graduate,Mumbai,Telangana,40,No
259,46-55,Other,10-20L,Freelancer,Doctorate,Chennai,Karnataka,56,No
260,26-35,Female,10-20L,Freelancer,Post-Graduate,Hyderabad,Delhi,2,Yes
261,18-25,Male,<5L,Salaried,Doctorate,Delhi,Telangana,28,No
262,26-35,Other,>50L,Professional,High School,Hyderabad,Tamil Nadu,5,Yes
263,55+,Male,<5L,Freelancer,Graduate,Hyderabad,Delhi,45,No
264,55+,Female,10-20L,Student,High School,Mumbai,Delhi,32,Yes
265,55+,Male,>50L,Freelancer,High School,Mumbai,Punjab,22,No
266,18-25,Other,<5L,Salaried,Doctorate,Delhi,Delhi,3,No
267,26-35,Female,<5L,Retired,Doctorate,Delhi,Gujarat,24,No
268,36-45,Male,10-20L,Freelancer,High School,Mumbai,Rajasthan,38,Yes
269,18-25,Male,20-50L,Student,Graduate,Chennai,Rajasthan,15,No
270,55+,Female,>50L,Retired,High School,Bangalore,Telangana,4,No
271,18-25,Female,>50L,Salaried,Doctorate,Delhi,Maharashtra,38,Yes
272,18-25,Male,10-20L,Business Owner,Doctorate,Delhi,Maharashtra,60,Yes
273,36-45,Male,<5L,Salaried,Post-Graduate,Hyderabad,Karnataka,52,No
274,55+,Female,5-10L,Business Owner,Graduate,Mumbai,Maharashtra,1,No
275,18-25,Male,<5L,Freelancer,Graduate,Bangalore,West Bengal,26,Yes
276,18-25,Female,10-20L,Salaried,Doctorate,Bangalore,Uttar Pradesh,51,Yes
277,46-55,Male,>50L,Salaried,Graduate,Chennai,West Bengal,45,Yes
278,18-25,Female,5-10L,Professional,Doctorate,Chennai,Telangana,9,No
279,26-35,Female,>50L,Professional,High School,Bangalore,Karnataka,29,No
280,26-35,Female,>50L,Student,Post-Graduate,Chennai,Rajasthan,3,No
281,18-25,Female,<5L,Retired,High School,Bangalore,Gujarat,46,No
282,36-45,Male,5-10L,Professional,Doctorate,Chennai,West Bengal,28,Yes
283,46-55,Other,>50L,Salaried,Graduate,Hyderabad,Maharashtra,58,Yes
284,46-55,Other,5-10L,Freelancer,Doctorate,Chennai,Uttar Pradesh,18,Yes
285,55+,Female,5-10L,Business Owner,High School,Chennai,Maharashtra,48,No
286,55+,Female,<5L,Business Owner,Doctorate,Mumbai,Uttar Pradesh,23,No
287,26-35,Other,5-10L,Salaried,Post-Graduate,Hyderabad,Maharashtra,11,No
288,46-55,Female,>50L,Student,Doctorate,Bangalore,West Bengal,46,No
289,36-45,Female,>50L,Student,Post-Graduate,Mumbai,Uttar Pradesh,9,No
290,36-45,Other,>50L,Freelancer,Doctorate,Mumbai,West Bengal,6,Yes
291,55+,Male,5-10L,Salaried,High School,Hyderabad,Uttar Pradesh,10,Yes
292,26-35,Male,5-10L,Professional,Post-Graduate,Bangalore,Uttar Pradesh,27,Yes
293,36-45,Other,5-10L,Business Owner,Post-Graduate,Hyderabad,Gujarat,13,Yes
294,36-45,Other,5-10L,Retired,Doctorate,Bangalore,Gujarat,27,Yes
295,46-55,Other,10-20L,Business Owner,Post-Graduate,Chennai,Delhi,14,No
296,26-35,Male,10-20L,Business Owner,Graduate,Chennai,Delhi,21,Yes
297,18-25,Other,<5L,Student,Post-Graduate,Hyderabad,Rajasthan,59,No
298,36-45,Female,10-20L,Student,Doctorate,Mumbai,Telangana,34,No
299,46-55,Male,20-50L,Freelancer,Post-Graduate,Hyderabad,Gujarat,57,Yes
300,55+,Female,<5L,Freelancer,Doctorate,Hyderabad,Gujarat,28,No
301,26-35,Male,>50L,Salaried,Post-Graduate,Mumbai,Karnataka,15,No
302,55+,Other,20-50L,Business Owner,Graduate,Chennai,Punjab,35,Yes
303,36-45,Male,20-50L,Student,Graduate,Bangalore,Punjab,13,No
304,55+,Other,5-10L,Student,Graduate,Bangalore,Telangana,31,Yes
305,46-55,Female,<5L,Salaried,High School,Bangalore,Tamil Nadu,1,No
306,18-25,Female,5-10L,Student,Doctorate,Hyderabad,Uttar Pradesh,18,Yes
307,46-55,Male,<5L,Business Owner,Graduate,Bangalore,Uttar Pradesh,12,Yes
308,36-45,Male,5-10L,Student,High School,Hyderabad,Maharashtra,55,No
309,36-45,Male,10-20L,Salaried,Doctorate,Bangalore,Maharashtra,11,No
310,36-45,Other,10-20L,Student,High School,Chennai,Punjab,31,No
311,55+,Female,20-50L,Student,Post-Graduate,Delhi,Maharashtra,46,No
312,36-45,Other,>50L,Retired,High School,Bangalore,Telangana,11,Yes
313,55+,Other,>50L,Freelancer,Graduate,Hyderabad,Punjab,56,Yes
314,55+,Other,<5L,Salaried,Graduate,Delhi,Karnataka,35,Yes
315,46-55,Female,>50L,Student,Post-Graduate,Mumbai,West Bengal,20,No
316,55+,Female,<5L,Salaried,High School,Delhi,Maharashtra,58,Yes
317,18-25,Male,5-10L,Freelancer,High School,Hyderabad,West Bengal,39,Yes
318,18-25,Female,5-10L,Student,Post-Graduate,Mumbai,Gujarat,2,No
319,55+,Other,>50L,Business Owner,Doctorate,Chennai,Gujarat,50,Yes
320,46-55,Other,5-10L,Salaried,Doctorate,Bangalore,Karnataka,38,No
321,26-35,Other,20-50L,Freelancer,Post-Graduate,Mumbai,Punjab,16,No
322,18-25,Female,<5L,Salaried,Doctorate,Chennai,Karnataka,51,Yes
323,36-45,Other,10-20L,Professional,Doctorate,Mumbai,Tamil Nadu,56,No
324,55+,Female,>50L,Freelancer,Post-Graduate,Mumbai,Tamil Nadu,57,No
325,46-55,Other,<5L,Freelancer,Graduate,Hyderabad,Tamil Nadu,29,Yes
326,26-35,Female,>50L,Retired,Post-Graduate,Delhi,Karnataka,43,No
327,46-55,Female,10-20L,Salaried,Doctorate,Hyderabad,Gujarat,46,Yes
328,26-35,Female,>50L,Business Owner,High School,Chennai,Karnataka,45,No
329,36-45,Female,>50L,Retired,Doctorate,Mumbai,Delhi,42,No
330,55+,Male,5-10L,Professional,Graduate,Chennai,Karnataka,57,No
331,46-55,Other,>50L,Freelancer,Graduate,Delhi,Tamil Nadu,57,Yes
332,46-55,Male,<5L,Retired,High School,Delhi,Tamil Nadu,3,No
333,46-55,Other,5-10L,Salaried,Graduate,Hyderabad,West Bengal,40,No
334,36-45,Female,>50L,Business Owner,Doctorate,Delhi,Rajasthan,52,Yes
335,46-55,Other,5-10L,Student,Graduate,Hyderabad,Gujarat,50,Yes
336,36-45,Female,>50L,Salaried,Post-Graduate,Bangalore,Karnataka,15,Yes
337,26-35,Female,>50L,Salaried,High School,Bangalore,Delhi,28,No
338,36-45,Male,<5L,Salaried,High School,Hyderabad,Uttar Pradesh,7,Yes
