SALES_ID,SALE_DATE,STATE,CITY,CITY_TIER,MODEL,STORAGE_GB,COLOR,UNITS_SOLD,UNIT_PRICE,CHANNEL,RETAILER_ID,QUARTER,YEAR,TOTAL_REVENUE
130,2023-06-20,Rajasthan,Jaipur,Tier 3,iPhone 13,256,Silver,2,59153,Online,49,Q2,2023,118306
131,2022-01-29,Rajasthan,Jodhpur,Tier 2,iPhone 14 Pro,128,Pink,4,129931,Authorized Reseller,38,Q1,2022,519724
132,2023-01-26,West Bengal,Siliguri,Tier 1,iPhone 13,128,Green,2,56918,Online,28,Q1,2023,113836
133,2022-10-08,Rajasthan,Jodhpur,Tier 3,iPhone 15,256,Pink,1,74964,Telecom Partner,33,Q4,2022,74964
134,2023-08-13,Delhi,New Delhi,Tier 1,iPhone 14 Pro,64,Purple,2,129594,Telecom Partner,47,Q3,2023,259188
135,2022-10-16,Tamil Nadu,Madurai,Tier 2,iPhone 14,1024,Gold,1,71133,Retail Store,46,Q4,2022,71133
136,2022-11-19,Delhi,Noida,Tier 2,iPhone 14,1024,Silver,5,73909,Retail Store,9,Q4,2022,369545
137,2023-04-07,Punjab,Chandigarh,Tier 2,iPhone 15 Pro,256,Purple,1,138677,Telecom Partner,32,Q2,2023,138677
138,2022-06-18,Gujarat,Ahmedabad,Tier 2,iPhone 15 Pro,128,Blue,2,131283,Authorized Reseller,19,Q2,2022,262566
139,2022-09-11,Maharashtra,Mumbai,Tier 3,iPhone 15,128,Silver,5,81389,Authorized Reseller,28,Q3,2022,406945
140,2022-02-28,Maharashtra,Pune,Tier 3,iPhone 13,128,Pink,2,56314,Online,35,Q1,2022,112628
141,2022-07-04,Telangana,Warangal,Tier 3,iPhone 15,512,Pink,1,83178,Online,26,Q3,2022,83178
142,2022-07-10,Punjab,Amritsar,Tier 2,iPhone 13 Pro,256,Purple,4,115955,Telecom Partner,15,Q3,2022,463820
143,2023-02-25,Telangana,Hyderabad,Tier 1,iPhone 14 Pro,64,Purple,4,134775,Online,46,Q1,2023,539100
144,2023-11-08,Tamil Nadu,Coimbatore,Tier 3,iPhone 15 Pro,128,Gold,1,131104,Telecom Partner,13,Q4,2023,131104
145,2022-11-14,West Bengal,Siliguri,Tier 3,iPhone 13 Pro,1024,Gold,1,123677,Telecom Partner,5,Q4,2022,123677
146,2023-08-30,Rajasthan,Udaipur,Tier 2,iPhone 15 Pro,64,Pink,1,133004,Telecom Partner,40,Q3,2023,133004
147,2022-04-12,Tamil Nadu,Chennai,Tier 3,iPhone 15 Pro,64,Gold,3,136096,Retail Store,22,Q2,2022,408288
148,2023-11-04,Delhi,Gurgaon,Tier 3,iPhone 15 Pro,64,Midnight,3,136763,Authorized Reseller,15,Q4,2023,410289
149,2022-06-20,Uttar Pradesh,Noida,Tier 2,iPhone 14,512,Starlight,3,70731,Online,12,Q2,2022,212193
150,2023-03-15,Gujarat,Surat,Tier 1,iPhone 15,64,Starlight,3,82158,Retail Store,39,Q1,2023,246474
151,2023-03-19,Maharashtra,Pune,Tier 1,iPhone 15 Pro,1024,Green,5,132306,Telecom Partner,33,Q1,2023,661530
152,2022-08-28,Uttar Pradesh,Kanpur,Tier 3,iPhone 15,512,Starlight,1,83016,Online,17,Q3,2022,83016
153,2023-01-05,Uttar Pradesh,Noida,Tier 1,iPhone 15 Pro Max,1024,Silver,3,155318,Authorized Reseller,18,Q1,2023,465954
154,2023-08-15,Tamil Nadu,Madurai,Tier 3,iPhone 15 Pro Max,64,Silver,4,160677,Telecom Partner,45,Q3,2023,642708
155,2023-06-22,West Bengal,Siliguri,Tier 3,iPhone 13 Pro,256,Silver,3,115865,Retail Store,25,Q2,2023,347595
156,2023-10-24,West Bengal,Siliguri,Tier 2,iPhone 14,64,Gold,4,73719,Authorized Reseller,14,Q4,2023,294876
157,2023-09-14,Gujarat,Ahmedabad,Tier 1,iPhone 15,512,Blue,1,79334,Authorized Reseller,32,Q3,2023,79334
158,2023-05-20,Delhi,New Delhi,Tier 2,iPhone 13,128,Midnight,1,60372,Online,21,Q2,2023,60372
159,2023-04-04,Telangana,Hyderabad,Tier 1,iPhone 14,512,Green,3,69722,Retail Store,40,Q2,2023,209166
160,2022-03-14,Uttar Pradesh,Lucknow,Tier 3,iPhone 15 Pro Max,128,Gold,4,157953,Authorized Reseller,17,Q1,2022,631812
161,2022-09-10,West Bengal,Kolkata,Tier 3,iPhone 15,1024,Blue,1,84431,Telecom Partner,39,Q3,2022,84431
162,2023-12-14,Karnataka,Mangalore,Tier 2,iPhone 14 Pro,128,Pink,5,133048,Retail Store,21,Q4,2023,665240
163,2022-12-27,Rajasthan,Jodhpur,Tier 3,iPhone 13,512,Blue,4,55502,Online,27,Q4,2022,222008
164,2023-07-12,Uttar Pradesh,Lucknow,Tier 3,iPhone 13,64,Midnight,4,63096,Authorized Reseller,9,Q3,2023,252384
165,2023-07-31,Delhi,Noida,Tier 2,iPhone 15,128,Gold,4,75503,Telecom Partner,35,Q3,2023,302012
166,2023-12-09,West Bengal,Kolkata,Tier 2,iPhone 13,1024,Purple,3,55618,Retail Store,45,Q4,2023,166854
167,2022-03-11,Gujarat,Surat,Tier 3,iPhone 14,128,Blue,2,73204,Authorized Reseller,12,Q1,2022,146408
168,2023-08-07,Tamil Nadu,Madurai,Tier 1,iPhone 15 Pro Max,512,Midnight,4,157488,Online,28,Q3,2023,629952
169,2022-07-27,Gujarat,Vadodara,Tier 3,iPhone 14 Pro,512,Gold,5,134616,Retail Store,9,Q3,2022,673080
170,2023-08-06,Uttar Pradesh,Kanpur,Tier 2,iPhone 14,128,Purple,1,74876,Authorized Reseller,31,Q3,2023,74876
171,2022-09-25,Maharashtra,Nagpur,Tier 3,iPhone 15,256,Pink,3,83313,Online,17,Q3,2022,249939
172,2022-04-19,Tamil Nadu,Coimbatore,Tier 1,iPhone 15,512,Pink,1,76437,Retail Store,34,Q2,2022,76437
173,2023-05-23,Punjab,Ludhiana,Tier 2,iPhone 15,64,Pink,3,78430,Retail Store,24,Q2,2023,235290
174,2022-08-17,Karnataka,Mangalore,Tier 1,iPhone 15,512,Green,5,80923,Retail Store,47,Q3,2022,404615
175,2023-06-14,Uttar Pradesh,Noida,Tier 2,iPhone 15 Pro,256,Blue,5,134447,Online,49,Q2,2023,672235
176,2023-04-24,Punjab,Ludhiana,Tier 1,iPhone 15 Pro Max,128,Pink,4,157836,Retail Store,1,Q2,2023,631344
177,2023-10-05,Tamil Nadu,Chennai,Tier 3,iPhone 14,128,Purple,5,70325,Online,42,Q4,2023,351625
178,2022-01-12,West Bengal,Siliguri,Tier 1,iPhone 15 Pro,128,Purple,2,134284,Retail Store,9,Q1,2022,268568
179,2022-02-21,Gujarat,Ahmedabad,Tier 3,iPhone 15,64,Starlight,1,84538,Retail Store,17,Q1,2022,84538
180,2023-04-03,Punjab,Ludhiana,Tier 2,iPhone 14,64,Green,2,69737,Authorized Reseller,41,Q2,2023,139474
181,2023-11-04,Rajasthan,Jodhpur,Tier 1,iPhone 14,512,Pink,2,74420,Online,15,Q4,2023,148840
182,2023-06-20,Maharashtra,Nagpur,Tier 3,iPhone 15 Pro Max,128,Silver,5,160674,Retail Store,49,Q2,2023,803370
183,2023-08-26,Rajasthan,Jodhpur,Tier 2,iPhone 15 Pro Max,256,Purple,3,163818,Online,39,Q3,2023,491454
184,2023-05-27,Punjab,Ludhiana,Tier 2,iPhone 14,64,Purple,3,69155,Telecom Partner,47,Q2,2023,207465
185,2022-02-19,Gujarat,Vadodara,Tier 2,iPhone 15,64,Starlight,4,76143,Online,12,Q1,2022,304572
186,2023-09-05,Rajasthan,Jaipur,Tier 3,iPhone 14 Pro,128,Green,4,128936,Retail Store,49,Q3,2023,515744
187,2023-10-11,Uttar Pradesh,Lucknow,Tier 2,iPhone 13,256,Midnight,1,55578,Online,5,Q4,2023,55578
188,2023-11-15,Uttar Pradesh,Kanpur,Tier 3,iPhone 14,256,Pink,4,70475,Retail Store,27,Q4,2023,281900
189,2022-03-19,Tamil Nadu,Coimbatore,Tier 3,iPhone 15,256,Starlight,3,79858,Telecom Partner,25,Q1,2022,239574
190,2023-11-07,Maharashtra,Nagpur,Tier 3,iPhone 15 Pro Max,64,Midnight,2,155000,Authorized Reseller,34,Q4,2023,310000
191,2023-11-07,Tamil Nadu,Coimbatore,Tier 2,iPhone 13 Pro,1024,Green,2,117081,Online,6,Q4,2023,234162
192,2023-01-12,Telangana,Hyderabad,Tier 1,iPhone 13 Pro,512,Green,4,118000,Retail Store,9,Q1,2023,472000
193,2023-11-16,Rajasthan,Jaipur,Tier 2,iPhone 14 Pro,64,Pink,1,127358,Telecom Partner,40,Q4,2023,127358
194,2022-02-16,Karnataka,Mangalore,Tier 3,iPhone 15,512,Blue,2,77658,Authorized Reseller,45,Q1,2022,155316
195,2022-07-18,Delhi,Gurgaon,Tier 2,iPhone 13 Pro,64,Green,2,122091,Authorized Reseller,32,Q3,2022,244182
196,2023-10-30,Karnataka,Bangalore,Tier 2,iPhone 14 Pro,64,Purple,4,134441,Online,17,Q4,2023,537764
197,2022-07-17,West Bengal,Siliguri,Tier 1,iPhone 14,256,Midnight,1,74676,Retail Store,2,Q3,2022,74676
198,2023-01-09,Maharashtra,Pune,Tier 2,iPhone 13 Pro,1024,Purple,4,122079,Telecom Partner,9,Q1,2023,488316
199,2023-08-11,Maharashtra,Pune,Tier 2,iPhone 15 Pro Max,256,Midnight,1,161874,Authorized Reseller,17,Q3,2023,161874
200,2022-02-04,Maharashtra,Pune,Tier 1,iPhone 15 Pro,512,Silver,5,133480,Authorized Reseller,25,Q1,2022,667400
201,2023-06-20,West Bengal,Kolkata,Tier 1,iPhone 15 Pro Max,1024,Midnight,2,161487,Online,21,Q2,2023,322974
202,2023-11-01,West Bengal,Kolkata,Tier 3,iPhone 14,256,Midnight,5,66741,Online,19,Q4,2023,333705
203,2023-06-15,Punjab,Amritsar,Tier 3,iPhone 13,512,Gold,2,55203,Retail Store,15,Q2,2023,110406
204,2022-05-10,Telangana,Hyderabad,Tier 1,iPhone 14 Pro,128,Gold,1,132349,Authorized Reseller,15,Q2,2022,132349
205,2022-02-11,Punjab,Ludhiana,Tier 2,iPhone 13,64,Starlight,2,56539,Telecom Partner,7,Q1,2022,113078
